timestamp,algorithm,N,input_state,time_seconds,comparisons
2025-11-10T15:10:42.078126,merge,10,already_sorted,0.000031041,
2025-11-10T15:10:42.078126,merge,10,shuffled,0.000035084,
2025-11-10T15:10:42.078126,merge,10,reversed,0.000023417,
2025-11-10T15:10:42.173362,quick,10,already_sorted,0.000035125,
2025-11-10T15:10:42.173362,quick,10,shuffled,0.000018750,
2025-11-10T15:10:42.173362,quick,10,reversed,0.000023083,
2025-11-10T15:10:42.276723,heap,10,already_sorted,0.000041917,
2025-11-10T15:10:42.276723,heap,10,shuffled,0.000025042,
2025-11-10T15:10:42.276723,heap,10,reversed,0.000026125,
2025-11-10T15:10:42.370080,bubble,10,already_sorted,0.000008542,9
2025-11-10T15:10:42.370080,bubble,10,shuffled,0.000018791,39
2025-11-10T15:10:42.370080,bubble,10,reversed,0.000035250,45
2025-11-10T15:10:42.462976,transposition,10,already_sorted,0.000008292,2
2025-11-10T15:10:42.462976,transposition,10,shuffled,0.000030833,10
2025-11-10T15:10:42.462976,transposition,10,reversed,0.000042792,12
2025-11-10T15:10:42.554472,merge,20,already_sorted,0.000081458,
2025-11-10T15:10:42.554472,merge,20,shuffled,0.000032125,
2025-11-10T15:10:42.554472,merge,20,reversed,0.000064375,
2025-11-10T15:10:42.652952,quick,20,already_sorted,0.000107750,
2025-11-10T15:10:42.652952,quick,20,shuffled,0.000014458,
2025-11-10T15:10:42.652952,quick,20,reversed,0.000022625,
2025-11-10T15:10:42.771051,heap,20,already_sorted,0.000100584,
2025-11-10T15:10:42.771051,heap,20,shuffled,0.000040000,
2025-11-10T15:10:42.771051,heap,20,reversed,0.000029208,
2025-11-10T15:10:42.873670,bubble,20,already_sorted,0.000013667,19
2025-11-10T15:10:42.873670,bubble,20,shuffled,0.000116958,154
2025-11-10T15:10:42.873670,bubble,20,reversed,0.000139958,190
2025-11-10T15:10:42.970245,transposition,20,already_sorted,0.000015834,2
2025-11-10T15:10:42.970245,transposition,20,shuffled,0.000139750,22
2025-11-10T15:10:42.970245,transposition,20,reversed,0.000154917,22
2025-11-10T15:10:43.066169,merge,50,already_sorted,0.000189959,
2025-11-10T15:10:43.066169,merge,50,shuffled,0.000060375,
2025-11-10T15:10:43.066169,merge,50,reversed,0.000058209,
2025-11-10T15:10:43.165109,quick,50,already_sorted,0.000210291,
2025-11-10T15:10:43.165109,quick,50,shuffled,0.000022458,
2025-11-10T15:10:43.165109,quick,50,reversed,0.000047542,
2025-11-10T15:10:43.262079,heap,50,already_sorted,0.000196625,
2025-11-10T15:10:43.262079,heap,50,shuffled,0.000041042,
2025-11-10T15:10:43.262079,heap,50,reversed,0.000035333,
2025-11-10T15:10:43.358693,bubble,50,already_sorted,0.000032542,49
2025-11-10T15:10:43.358693,bubble,50,shuffled,0.000328250,1170
2025-11-10T15:10:43.358693,bubble,50,reversed,0.000503875,1225
2025-11-10T15:10:43.455047,transposition,50,already_sorted,0.000033459,2
2025-11-10T15:10:43.455047,transposition,50,shuffled,0.000348916,48
2025-11-10T15:10:43.455047,transposition,50,reversed,0.000579625,52
2025-11-10T15:10:43.556765,merge,100,already_sorted,0.000196917,
2025-11-10T15:10:43.556765,merge,100,shuffled,0.000136625,
2025-11-10T15:10:43.556765,merge,100,reversed,0.000124417,
2025-11-10T15:10:43.657511,quick,100,already_sorted,0.000282500,
