timestamp,algorithm,N,input_state,time_seconds,comparisons
2025-11-10T15:10:43.657511,quick,100,shuffled,0.000060958,
2025-11-10T15:10:43.657511,quick,100,reversed,0.000136084,
2025-11-10T15:10:43.778742,heap,100,already_sorted,0.000263250,
2025-11-10T15:10:43.778742,heap,100,shuffled,0.000116292,
2025-11-10T15:10:43.778742,heap,100,reversed,0.000112125,
2025-11-10T15:10:43.897879,bubble,100,already_sorted,0.000034458,99
2025-11-10T15:10:43.897879,bubble,100,shuffled,0.000845667,4929
2025-11-10T15:10:43.897879,bubble,100,reversed,0.001277250,4950
2025-11-10T15:10:44.005822,transposition,100,already_sorted,0.000040875,2
2025-11-10T15:10:44.005822,transposition,100,shuffled,0.000772833,96
2025-11-10T15:10:44.005822,transposition,100,reversed,0.001216125,102
2025-11-10T15:10:44.109477,merge,200,already_sorted,0.000276583,
2025-11-10T15:10:44.109477,merge,200,shuffled,0.000110333,
2025-11-10T15:10:44.109477,merge,200,reversed,0.000068834,
2025-11-10T15:10:44.216621,quick,200,already_sorted,0.000478417,
2025-11-10T15:10:44.216621,quick,200,shuffled,0.000066709,
2025-11-10T15:10:44.216621,quick,200,reversed,0.000173375,
2025-11-10T15:10:44.325152,heap,200,already_sorted,0.000365500,
2025-11-10T15:10:44.325152,heap,200,shuffled,0.000105209,
2025-11-10T15:10:44.325152,heap,200,reversed,0.000081166,
2025-11-10T15:10:44.436093,bubble,200,already_sorted,0.000034917,199
2025-11-10T15:10:44.436093,bubble,200,shuffled,0.002094750,19845
2025-11-10T15:10:44.436093,bubble,200,reversed,0.001794417,19900
2025-11-10T15:10:44.542078,transposition,200,already_sorted,0.000033375,2
2025-11-10T15:10:44.542078,transposition,200,shuffled,0.001996542,190
2025-11-10T15:10:44.542078,transposition,200,reversed,0.001723208,202
2025-11-10T15:10:44.647438,merge,300,already_sorted,0.000427958,
2025-11-10T15:10:44.647438,merge,300,shuffled,0.000161333,
2025-11-10T15:10:44.647438,merge,300,reversed,0.000139083,
2025-11-10T15:10:44.753118,quick,300,already_sorted,0.001012916,
2025-11-10T15:10:44.753118,quick,300,shuffled,0.000077250,
2025-11-10T15:10:44.753118,quick,300,reversed,0.000269000,
2025-11-10T15:10:44.864660,heap,300,already_sorted,0.000461000,
2025-11-10T15:10:44.864660,heap,300,shuffled,0.000142166,
2025-11-10T15:10:44.864660,heap,300,reversed,0.000152000,
2025-11-10T15:10:44.973713,bubble,300,already_sorted,0.000063958,299
2025-11-10T15:10:44.973713,bubble,300,shuffled,0.004608291,44822
2025-11-10T15:10:44.973713,bubble,300,reversed,0.002091083,44850
2025-11-10T15:10:45.081165,transposition,300,already_sorted,0.000043042,2
2025-11-10T15:10:45.081165,transposition,300,shuffled,0.004324166,288
2025-11-10T15:10:45.081165,transposition,300,reversed,0.002366708,302
2025-11-10T15:10:45.192436,merge,398,already_sorted,0.000543584,
2025-11-10T15:10:45.192436,merge,398,shuffled,0.000186291,
2025-11-10T15:10:45.192436,merge,398,reversed,0.000139209,
2025-11-10T15:10:45.300258,quick,398,already_sorted,0.001611792,
2025-11-10T15:10:45.300258,quick,398,shuffled,0.000103500,
2025-11-10T15:10:45.300258,quick,398,reversed,0.000439291,
2025-11-10T15:10:45.413997,heap,398,already_sorted,0.000554416,
2025-11-10T15:10:45.413997,heap,398,shuffled,0.000220875,
2025-11-10T15:10:45.413997,heap,398,reversed,0.000126458,
2025-11-10T15:10:45.520905,bubble,398,already_sorted,0.000094375,397
2025-11-10T15:10:45.520905,bubble,398,shuffled,0.006853042,78850
2025-11-10T15:10:45.520905,bubble,398,reversed,0.001358833,79003
2025-11-10T15:10:45.638621,transposition,398,already_sorted,0.000086667,2
2025-11-10T15:10:45.638621,transposition,398,shuffled,0.006270250,384
2025-11-10T15:10:45.638621,transposition,398,reversed,0.001376542,400
